,TimeStamp,AI0_Vibration,AI1_Vibration,AI2_Current,Equipment_state
0,2022-07-12 00:00:00.019,0.116967,-0.176403,192.33873,0
1,2022-07-12 00:00:00.119,0.03008,-0.210895,217.00433,0
2,2022-07-12 00:00:00.219,-0.045794,-0.029424,197.51062,0
3,2022-07-12 00:00:00.319,0.047519,0.258642,156.60717,0
4,2022-07-12 00:00:00.419,0.020351,0.173777,93.236934,0
5,2022-07-12 00:00:00.519,-0.039129,-0.124644,23.663881,0
6,2022-07-12 00:00:00.619,0.006727,-0.139971,-49.305445,0
7,2022-07-12 00:00:00.719,0.000142,-0.083375,-118.64366,0
8,2022-07-12 00:00:00.819,-0.10298,0.016477,-175.70963,0
9,2022-07-12 00:00:00.919,0.00172,0.215761,-213.79593,0
10,2022-07-12 00:00:01.019,0.110246,0.098777,-206.08881,0
11,2022-07-12 00:00:01.119,-0.087199,-0.223065,-171.62802,0
12,2022-07-12 00:00:01.219,-0.070521,-0.21144,-115.67391,0
13,2022-07-12 00:00:01.319,-0.024177,0.017919,-46.253448,0
14,2022-07-12 00:00:01.419,-0.111733,0.139955,25.225046,0
15,2022-07-12 00:00:01.519,0.037301,0.197857,99.004638,0
16,2022-07-12 00:00:01.619,0.06968,0.018351,159.9287,0
17,2022-07-12 00:00:01.719,-0.054172,-0.226471,208.76339,0
18,2022-07-12 00:00:01.819,-0.03628,-0.150756,217.32595,0
19,2022-07-12 00:00:01.919,-0.067944,0.060755,188.27095,0
20,2022-07-12 00:00:02.019,-0.064345,0.166329,138.87979,0
21,2022-07-12 00:00:02.119,-0.013789,0.15946,69.887766,0
22,2022-07-12 00:00:02.219,-0.035508,-0.05028,-1.156211,0
23,2022-07-12 00:00:02.319,-0.010088,-0.2669,-76.082358,0
24,2022-07-12 00:00:02.419,-0.062642,-0.129844,-141.2641,0
25,2022-07-12 00:00:02.519,-0.006443,0.17674,-195.12775,0
26,2022-07-12 00:00:02.619,0.072439,0.266851,-219.31734,0
27,2022-07-12 00:00:02.719,-0.085008,0.015501,-199.54994,0
28,2022-07-12 00:00:02.819,-0.056182,-0.168354,-157.70175,0
29,2022-07-12 00:00:02.919,-0.015617,-0.147157,-93.02808,0
30,2022-07-12 00:00:03.019,-0.128888,-0.035759,-22.295597,0
31,2022-07-12 00:00:03.119,0.087891,0.191079,52.171356,0
32,2022-07-12 00:00:03.219,0.19158,0.14998,122.96428,0
33,2022-07-12 00:00:03.319,-0.007227,-0.135713,181.12554,0
34,2022-07-12 00:00:03.419,0.043114,-0.195659,219.93151,0
35,2022-07-12 00:00:03.519,0.018841,-0.08686,212.35695,0
36,2022-07-12 00:00:03.619,-0.111597,0.091329,176.50463,0
37,2022-07-12 00:00:03.719,0.034531,0.275627,118.0221,0
38,2022-07-12 00:00:03.819,0.066967,0.096949,45.694237,0
39,2022-07-12 00:00:03.919,-0.04576,-0.203526,-28.200987,0
40,2022-07-12 00:00:04.019,0.041683,-0.178515,-103.07421,0
41,2022-07-12 00:00:07.224,0.053575,0.159723,28.972868,0
42,2022-07-12 00:00:07.324,0.098341,0.19796,-46.821004,0
43,2022-07-12 00:00:07.424,-0.011195,-0.05675,-120.2773,0
44,2022-07-12 00:00:07.524,0.082469,-0.116275,-166.03996,0
45,2022-07-12 00:00:07.624,-0.050659,-0.141934,-213.14469,0
46,2022-07-12 00:00:07.724,-0.1161,-0.018944,-207.42025,0
47,2022-07-12 00:00:07.824,0.046536,0.244895,-168.09084,0
48,2022-07-12 00:00:07.924,0.014611,0.107691,-118.82903,0
49,2022-07-12 00:00:08.024,0.014588,-0.113948,-50.999647,0
50,2022-07-12 00:00:08.124,0.024068,-0.133986,19.517901,0
51,2022-07-12 00:00:08.224,-0.04504,-0.117365,100.21068,0
52,2022-07-12 00:00:08.324,0.018289,0.100197,150.56195,0
53,2022-07-12 00:00:08.424,0.002338,0.185347,199.9928,0
54,2022-07-12 00:00:08.524,0.05303,-0.002062,217.53814,0
55,2022-07-12 00:00:08.624,0.108161,-0.079672,181.39746,0
56,2022-07-12 00:00:08.724,-0.103759,-0.14878,139.09234,0
57,2022-07-12 00:00:08.824,-0.053986,-0.025517,75.148353,0
58,2022-07-12 00:00:08.924,0.041461,0.219861,9.004713,0
59,2022-07-12 00:00:09.024,-0.06677,0.098767,-71.201691,0
60,2022-07-12 00:00:09.124,0.097296,-0.064118,-131.33849,0
61,2022-07-12 00:00:09.224,0.080596,-0.149404,-177.07255,0
62,2022-07-12 00:00:09.324,-0.110116,-0.180546,-216.01834,0
63,2022-07-12 00:00:09.424,0.052792,0.107952,-191.47971,0
64,2022-07-12 00:00:09.524,0.053178,0.230715,-153.05819,0
65,2022-07-12 00:00:09.624,-0.085684,0.021156,-98.175776,0
66,2022-07-12 00:00:09.724,0.052689,-0.0716,-33.267502,0
67,2022-07-12 00:00:09.824,-0.022776,-0.142013,40.96127,0
68,2022-07-12 00:00:09.924,-0.136729,-0.101607,113.25647,0
69,2022-07-12 00:00:10.024,0.092687,0.175413,156.39796,0
70,2022-07-12 00:00:10.124,0.092108,0.14133,206.93245,0
71,2022-07-12 00:00:10.224,0.020594,-0.096521,203.8702,0
72,2022-07-12 00:00:10.324,0.090042,-0.09324,165.57028,0
73,2022-07-12 00:00:10.424,-0.090532,-0.089584,120.3834,0
74,2022-07-12 00:00:10.524,-0.135434,0.022802,56.760676,0
75,2022-07-12 00:00:10.624,0.002394,0.209995,-9.568335,0
76,2022-07-12 00:00:10.724,0.004733,0.078535,-87.835918,0
77,2022-07-12 00:00:10.824,0.093459,-0.106398,-134.96579,0
